Id,Altitude,Azimuthal_angle,Incline,H_dist_Hydro,V_dist_Hydro,H_dist_Road,Hillshade_9am,Hillshade_Noon,Hillshade_3pm,H_dist_Fire,Wilderness_Area_A,Wilderness_Area_B,Wilderness_Area_C,Wilderness_Area_D,Soil,label
1,594,738,167,48,243,421,759,964,751,114,0,0,1,0,Soil_Type_23,-1
2,343,103,212,43,239,25,861,818,480,208,0,0,1,0,Soil_Type_10,-1
3,563,233,167,77,228,555,928,869,452,360,1,0,0,0,Soil_Type_1,-1
4,715,602,136,193,289,175,830,979,684,164,0,0,1,0,Soil_Type_32,-1
5,672,519,136,231,292,122,869,971,625,45,0,0,1,0,Soil_Type_32,-1
6,464,411,439,89,308,476,956,877,342,221,1,0,0,0,Soil_Type_1,-1
7,513,666,136,423,533,160,798,975,716,268,0,0,1,0,Soil_Type_23,-1
8,622,968,212,48,245,412,759,850,629,310,0,0,1,0,Soil_Type_23,-1
9,685,297,197,405,339,105,952,881,429,370,1,0,0,0,Soil_Type_22,-1
10,612,175,121,173,231,453,893,881,515,128,1,0,0,0,Soil_Type_1,1
11,594,219,61,343,307,397,881,916,566,907,1,0,0,0,Soil_Type_1,-1
12,535,347,151,172,253,485,928,916,500,661,1,0,0,0,Soil_Type_12,-1
13,649,963,182,257,298,367,775,869,633,219,1,0,0,0,Soil_Type_23,-1
14,514,203,136,327,319,484,905,877,496,404,1,0,0,0,Soil_Type_12,1
15,478,966,197,43,241,204,763,853,633,370,0,0,1,0,Soil_Type_33,-1
16,722,25,242,516,463,450,787,810,551,101,0,0,1,0,Soil_Type_24,-1
17,585,78,136,152,228,172,853,865,543,236,0,0,1,0,Soil_Type_32,1
18,411,83,197,167,254,471,850,834,511,428,0,0,1,0,Soil_Type_10,-1
19,610,513,76,334,292,240,869,960,621,102,0,0,1,0,Soil_Type_32,-1
20,490,119,363,163,257,157,850,708,342,89,0,0,1,0,Soil_Type_33,-1
21,695,416,121,43,217,426,909,944,555,75,1,0,0,0,Soil_Type_23,-1
22,340,122,348,48,249,173,857,716,342,241,0,0,1,0,Soil_Type_10,1
